Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
LT,Joe Thomas,AFC,CLE,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW: 1st Tm
T,David Bakhtiari,NFC,GNB,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 2nd Tm, PFF: 2nd Tm"
T,Andrew Whitworth,AFC,CIN,35,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
T,Jason Peters%,NFC,PHI,34,12,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
T,Donald Penn%,AFC,OAK,33,9,16,16,0,0,0,0,0,0,0,0,1,1,1,0,0,0,
LG,Kelechi Osemele,AFC,OAK,27,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm, PFF: 2nd Tm"
LG,Zack Martin,NFC,DAL,26,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
G,Marshal Yanda%,AFC,BAL,32,9,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 2nd Tm, PFF: 1st Tm, SN: 1st Tm"
G,Richie Incognito,AFC,BUF,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,Trai Turner,NFC,CAR,23,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,Josh Sitton,NFC,CHI,30,8,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,T.J. Lang%,NFC,GNB,29,7,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,Brandon Scherff%,NFC,WAS,25,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C,Travis Frederick,NFC,DAL,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
C,Alex Mack%,NFC,ATL,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 2nd Tm, PFF: 2nd Tm"
C,Jason Kelce,NFC,PHI,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C,Maurkice Pouncey%,AFC,PIT,27,6,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C,Rodney Hudson,AFC,OAK,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C,Jeremy Zuttah,AFC,BAL,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RG,David DeCastro,AFC,PIT,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP: 2nd Tm
RT,Trent Williams,NFC,WAS,28,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFF: 1st Tm, SN: 1st Tm"
RT,Taylor Lewan,AFC,TEN,25,2,16,16,0,0,0,0,0,0,0,0,1,10,1,0,0,0,
DE,Khalil Mack%,AFC,OAK,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,54,11,1,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
DE,Jadeveon Clowney,AFC,HOU,23,2,14,14,0,0,0,0,0,0,0,0,0,0,0,40,6,0,"FW: 1st Tm, SN: 1st Tm, AP: 2nd Tm"
DE,Vic Beasley%,NFC,ATL,24,1,16,12,0,0,0,0,0,0,0,0,0,0,0,32,15.5,0,"AP: 1st Tm, FW: 1st Tm"
DE,Cameron Wake,AFC,MIA,34,7,16,11,0,0,0,0,0,0,0,0,0,0,0,22,11.5,1,AP: 2nd Tm
DE,Carlos Dunlap,AFC,CIN,27,6,16,16,0,0,0,0,0,0,0,0,0,0,0,30,8,0,
DE,Everson Griffen,NFC,MIN,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,36,8,0,
DE,Leonard Williams,AFC,NYJ,22,1,16,16,0,0,0,0,0,0,0,0,0,0,0,36,7,0,
DE,Cliff Avril,NFC,SEA,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,20,11.5,0,
DE,Michael Bennett,NFC,SEA,31,7,11,11,0,0,0,0,0,0,0,0,0,0,0,24,5,0,
DT,Aaron Donald%,NFC,LAR,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,36,8,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
DT,Geno Atkins,AFC,CIN,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,21,9,0,SN: 1st Tm
DT,Ndamukong Suh,AFC,MIA,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,41,5,0,"AP: 2nd Tm, PFF: 2nd Tm"
DT,Gerald McCoy,NFC,TAM,28,6,15,15,0,0,0,0,0,0,0,0,0,0,0,25,7,0,AP: 2nd Tm
DT,Kyle Williams,AFC,BUF,33,10,15,15,0,0,0,0,0,0,0,0,0,0,0,42,5,0,
DT,Linval Joseph,NFC,MIN,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,37,4,0,
DT,Jurrell Casey,AFC,TEN,27,5,15,15,0,0,0,0,0,0,0,0,0,0,0,31,5,0,
DT,Fletcher Cox,NFC,PHI,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,27,6.5,0,
OLB,Von Miller,AFC,DEN,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,62,13.5,0,"AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
OLB,Lorenzo Alexander,AFC,BUF,33,9,16,16,0,0,0,0,0,0,0,0,0,0,0,50,12.5,1,AP: 2nd Tm
OLB,K.J. Wright,NFC,SEA,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,70,4,0,PFF: 2nd Tm
OLB,Thomas Davis,NFC,CAR,33,11,16,16,0,0,0,0,0,0,0,0,0,0,0,73,2.5,3,
OLB,Brian Orakpo,AFC,TEN,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,38,10.5,0,
MLB,Bobby Wagner,NFC,SEA,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,86,4.5,1,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
MLB,Ryan Shazier,AFC,PIT,24,2,13,12,0,0,0,0,0,0,0,0,0,0,0,55,3.5,3,
LB,Luke Kuechly%,NFC,CAR,25,4,10,10,0,0,0,0,0,0,0,0,0,0,0,71,2,1,"AP: 2nd Tm, PFF: 1st Tm, SN: 1st Tm"
LB,Sean Lee,NFC,DAL,30,6,15,15,0,0,0,0,0,0,0,0,0,0,0,93,0,0,"AP: 1st Tm, PFF: 1st Tm"
LB,Dont'a Hightower%,AFC,NWE,26,4,13,13,0,0,0,0,0,0,0,0,0,0,0,31,2.5,0,"AP: 2nd Tm, PFF: 2nd Tm"
LB,Zach Brown,AFC,BUF,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,97,4,1,AP: 2nd Tm
LB,C.J. Mosley%,AFC,BAL,24,2,14,14,0,0,0,0,0,0,0,0,0,0,0,56,0,4,AP: 2nd Tm
LB,Anthony Barr,NFC,MIN,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,37,2,0,
LB,Ryan Kerrigan%,NFC,WAS,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,26,11,0,
CB,Aqib Talib,AFC,DEN,30,8,13,13,0,0,0,0,0,0,0,0,0,0,0,32,0,3,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
CB,Marcus Peters%,AFC,KAN,23,1,15,15,0,0,0,0,0,0,0,0,0,0,0,35,0,6,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
CB,Chris Harris,AFC,DEN,27,5,16,15,0,0,0,0,0,0,0,0,0,0,0,57,0,2,"AP: 1st Tm, PFF: 1st Tm"
CB,Janoris Jenkins,NFC,NYG,28,4,15,15,0,0,0,0,0,0,0,0,0,0,0,44,1,3,"AP: 2nd Tm, PFF: 2nd Tm"
CB,Casey Hayward,AFC,SDG,27,4,16,14,0,0,0,0,0,0,0,0,0,0,0,50,0,7,"AP: 2nd Tm, PFF: 2nd Tm"
CB,Stephon Gilmore,AFC,BUF,26,4,15,15,0,0,0,0,0,0,0,0,0,0,0,42,0,5,
CB,Patrick Peterson,NFC,ARI,26,5,16,16,0,0,0,0,0,0,0,0,0,0,0,44,0,3,
