Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
39,2014,Boseko Lokombo,OLB,,Oregon,College Stats,2-Jun,6'2,225,4.66,,,122,7.15,4.3,
40,2014,Christian Kirksey,OLB,26,Iowa,College Stats,2-Jun,6'2,233,4.72,32,16,122,,,Cleveland Browns / 3rd / 71st pick / 2014
41,2014,Devon Kennard,OLB,25,Southern California,College Stats,3-Jun,6'3,249,4.7,30,23,113,7.25,4.32,New York Giants / 5th / 174th pick / 2014
42,2014,Howard Jones,OLB,4,Shepherd,,2-Jun,6'2,235,4.6,40.5,21,124,7.16,4.41,
43,2014,Christian Jones,OLB,25,Florida State,College Stats,3-Jun,6'3,240,4.68,33.5,,115,,,
44,2014,Adrian Hubbard,OLB,,Alabama,College Stats,6-Jun,6'6,257,4.69,38.5,,117,,,
45,2014,Anthony Hitchens,OLB,30,Iowa,College Stats,Jun-00,6'1,240,4.74,31.5,23,116,7.15,4.45,Dallas Cowboys / 4th / 119th pick / 2014
46,2014,Khairi Fortt,OLB,0,California,College Stats,2-Jun,6'2,248,4.7,36,30,120,,,New Orleans Saints / 4th / 126th pick / 2014
47,2014,Kasim Edebali,OLB,5,Boston College,College Stats,2-Jun,6'2,253,4.79,34.5,19,115,7.2,4.35,
48,2014,Jonathan Brown,OLB,,Illinois,College Stats,Jun-00,6'1,238,5.03,31,16,108,7.77,4.56,
49,2014,Carl Bradford,OLB,0,Arizona State,College Stats,1-Jun,6'1,250,4.76,37.5,23,122,7.25,4.3,Green Bay Packers / 4th / 121st pick / 2014
50,2014,Anthony Barr,OLB,46,UCLA,College Stats,5-Jun,6'5,255,4.66,34.5,15,119,6.82,4.19,Minnesota Vikings / 1st / 9th pick / 2014
Rk,Year,Player,Pos,AV,School,College,Height,#VALUE!,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
51,2014,Jeremiah Attaochu,OLB,9,Georgia Tech,College Stats,3-Jun,6'3,252,,,,,,,San Diego Chargers / 2nd / 50th pick / 2014
52,2013,Trevardo Williams,OLB,0,Connecticut,College Stats,1-Jun,6'1,241,4.57,38,30,124,,,Houston Texans / 4th / 124th pick / 2013
53,2013,Chase Thomas,OLB,,Stanford,College Stats,3-Jun,6'3,244,4.91,32,18,113,7.17,4.31,
54,2013,Mike Taylor,OLB,,Wisconsin,College Stats,1-Jun,6'1,234,4.75,,,,,,
55,2013,John Simon,OLB,16,Ohio State,College Stats,1-Jun,6'1,257,4.62,,,,,,Baltimore Ravens / 4th / 129th pick / 2013
56,2013,Etienne Sabino,OLB,,Ohio State,College Stats,2-Jun,6'2,247,4.75,,24,114,,,
57,2013,Ty Powell,OLB,1,Harding,,2-Jun,6'2,249,4.64,37,28,122,6.98,4.4,Seattle Seahawks / 7th / 231st pick / 2013
58,2013,Sean Porter,OLB,0,Texas A&M,College Stats,1-Jun,6'1,229,4.75,35,22,119,,,Cincinnati Bengals / 4th / 118th pick / 2013
59,2013,Alec Ogletree,OLB,49,Georgia,College Stats,2-Jun,6'2,242,4.7,33.5,20,122,7.16,4.39,St. Louis Rams / 1st / 30th pick / 2013
60,2013,Sio Moore,OLB,16,Connecticut,College Stats,1-Jun,6'1,245,4.65,38,29,127,7.49,4.31,Oakland Raiders / 3rd / 66th pick / 2013
61,2013,Nick Moody,OLB,2,Florida State,College Stats,1-Jun,6'1,236,4.71,,17,118,,,San Francisco 49ers / 6th / 180th pick / 2013
62,2013,Barkevious Mingo,OLB,24,LSU,College Stats,4-Jun,6'4,241,4.58,37,,128,6.84,4.39,Cleveland Browns / 1st / 6th pick / 2013
63,2013,Lerentee McCray,OLB,5,Florida,College Stats,2-Jun,6'2,250,4.74,,,,,,
64,2013,Michael Mauti,OLB,5,Penn State,College Stats,2-Jun,6'2,243,4.83,,28,,,,Minnesota Vikings / 7th / 213th pick / 2013
65,2013,Brandon Magee,OLB,2,Arizona State,College Stats,11-May,5'11,223,4.74,,,114,,,
66,2013,John Lotulelei,OLB,1,UNLV,College Stats,11-May,5'11,233,4.84,35.5,25,117,6.91,4.3,
67,2013,Jake Knott,OLB,1,Iowa State,College Stats,2-Jun,6'2,243,4.84,,,,,,
68,2013,Dion Jordan,OLB,7,Oregon,College Stats,6-Jun,6'6,248,4.54,32.5,,122,7.02,4.35,Miami Dolphins / 1st / 3rd pick / 2013
69,2013,Jarvis Jones,OLB,19,Georgia,College Stats,2-Jun,6'2,245,4.74,,,,,,Pittsburgh Steelers / 1st / 17th pick / 2013
70,2013,DeVonte Holloman,OLB,1,South Carolina,College Stats,1-Jun,6'1,243,4.76,33,15,113,7.3,4.26,Dallas Cowboys / 6th / 185th pick / 2013
71,2013,Gerald Hodges,OLB,20,Penn State,College Stats,1-Jun,6'1,243,4.78,,22,119,,,Minnesota Vikings / 4th / 120th pick / 2013
72,2013,Khaseem Greene,OLB,3,Rutgers,College Stats,1-Jun,6'1,241,4.71,30,17,116,7.58,4.2,Chicago Bears / 4th / 117th pick / 2013
73,2013,Zaviar Gooden,OLB,3,Missouri,College Stats,1-Jun,6'1,234,4.47,34,27,131,6.71,4.18,Tennessee Titans / 3rd / 97th pick / 2013
74,2013,Jamie Collins,OLB,47,Southern Miss,College Stats,3-Jun,6'3,250,4.64,41.5,19,139,7.1,4.32,New England Patriots / 2nd / 52nd pick / 2013
75,2013,Arthur Brown,OLB,3,Kansas State,College Stats,Jun-00,6'1,241,4.62,,,116,,,Baltimore Ravens / 2nd / 56th pick / 2013
76,2013,Jon Bostic,OLB,21,Florida,College Stats,1-Jun,6'1,245,4.59,32.5,22,118,6.99,4.24,Chicago Bears / 2nd / 50th pick / 2013
77,2013,Nathan Williams,OLB,,Ohio State,College Stats,3-Jun,6'3,241,4.88,35,24,113,6.99,4.44,
78,2012,Kyle Wilber,OLB,14,Wake Forest,College Stats,4-Jun,6'4,249,4.73,33.5,25,117,7.11,4.31,Dallas Cowboys / 4th / 113th pick / 2012
79,2012,Tahir Whitehead,OLB,36,Temple,College Stats,1-Jun,6'1,233,4.62,37,21,124,7.14,4.37,Detroit Lions / 5th / 138th pick / 2012
