Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
87,2010,Tim Tebow,QB,12,Florida,College Stats,43619,6'3,236,4.71,38.5,,115,6.66,4.17,Denver Broncos / 1st / 25th pick / 2010
88,2010,John Skelton,QB,4,Fordham,,43621,6'5,243,4.85,33.5,,108,7.17,4.33,Arizona Cardinals / 5th / 155th pick / 2010
89,2010,Zac Robinson,QB,0,Oklahoma State,College Stats,43618,6'2,214,4.68,35,,110,7.24,4.4,New England Patriots / 7th / 250th pick / 2010
90,2010,Tony Pike,QB,0,Cincinnati,College Stats,43622,6'6,223,4.9,28.5,,108,7.06,4.53,Carolina Panthers / 6th / 204th pick / 2010
91,2010,Colt McCoy,QB,14,Texas,College Stats,43617,6'1,216,4.79,,,114,,,Cleveland Browns / 3rd / 85th pick / 2010
92,2010,Thaddeus Lewis,QB,4,Duke,College Stats,36678,6'1,215,4.84,28,,107,,,
93,2010,Dan LeFevour,QB,,Central Michigan,College Stats,43619,6'3,230,4.6,29.5,,110,6.93,4.22,Chicago Bears / 6th / 181st pick / 2010
94,2010,Mike Kafka,QB,0,Northwestern,College Stats,43619,6'3,225,4.93,32,,110,6.96,4.37,Philadelphia Eagles / 4th / 122nd pick / 2010
95,2010,Max Hall,QB,1,BYU,College Stats,43617,6'1,209,4.84,32,,102,7.07,4.35,
96,2010,Jimmy Clausen,QB,3,Notre Dame,College Stats,43619,6'3,222,4.76,,,,,,Carolina Panthers / 2nd / 48th pick / 2010
97,2010,Sean Canfield,QB,,Oregon State,College Stats,43620,6'4,223,4.93,29.5,,100,7.26,4.39,New Orleans Saints / 7th / 239th pick / 2010
98,2010,Levi Brown,QB,0,Troy,College Stats,43619,6'3,229,4.93,31.5,20,106,7.07,4.43,Buffalo Bills / 7th / 209th pick / 2010
99,2010,Jarrett Brown,QB,,West Virginia,College Stats,43619,6'3,224,4.5,34.5,,114,7.24,4.39,
100,2010,Sam Bradford,QB,49,Oklahoma,College Stats,43620,6'4,236,4.79,,,,,,St. Louis Rams / 1st / 1st pick / 2010
101,2010,Jevan Snead,QB,,Mississippi,College Stats,43619,6'3,219,5.04,33,,106,7.08,4.33,
102,2010,Riley Skinner,QB,,Wake Forest,College Stats,36678,6'1,214,5.05,30,,101,7.04,4.29,
103,2010,Daryll Clark,QB,,Penn State,College Stats,43618,6'2,235,4.72,,21,,,,
104,2010,Tim Hiller,QB,,Western Michigan,College Stats,43620,6'4,229,4.97,32.5,18,118,7.1,4.54,
