Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
96,2010,Perrish Cox,CB,21,Oklahoma State,College Stats,11-May,5'11,195,4.58,32.5,12,113,,,Denver Broncos / 5th / 137th pick / 2010
97,2010,Chris Cook,CB,9,Virginia,College Stats,2-Jun,6'2,212,4.45,38,7,132,6.88,4.23,Minnesota Vikings / 2nd / 34th pick / 2010
98,2010,Nolan Carroll,CB,24,Maryland,College Stats,May-19,5'11,204,4.42,,,,,,Miami Dolphins / 5th / 145th pick / 2010
99,2010,Crezdon Butler,CB,2,Clemson,College Stats,1-Jun,6'1,191,4.43,39.5,17,121,7.08,4.23,Pittsburgh Steelers / 5th / 164th pick / 2010
100,2010,Cornelius Brown,CB,1,Texas-El Paso,College Stats,11-May,5'11,198,4.59,31.5,11,118,6.87,4.24,
101,2010,Javier Arenas,CB,8,Alabama,College Stats,9-May,5'9,197,4.6,,,112,,,Kansas City Chiefs / 2nd / 50th pick / 2010
102,2010,Stephan Virgil,CB,,Virginia Tech,College Stats,11-May,5'11,183,4.69,34,12,113,7.11,4.35,
103,2010,Devin Ross,CB,,Arizona,College Stats,10-May,5'10,183,4.64,40,16,119,7.07,,
104,2010,Chris Chancellor,CB,,Clemson,College Stats,9-May,5'9,177,4.49,34,14,115,6.85,4.07,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
